"MM Retake","","","","","","","","",""
"Adicionar descrição do quadro","","","","","","","","",""
"","","","","","","","","",""
"101 Bagunça Implacável","","","","","","","","",""
"Name","ANIM","COMP","JULIETA E/OU LÚCIO","Responsável","Espelho","BG v1","MM Animação","ANIM PRAZO","COMP PRAZO"
"2430","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2430","2022-03-18","2022-03-18"
"2440","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2440","",""
"2450","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2450","2022-03-18","2022-03-18"
"2460","","","","","APROVADO DIR. GERAL","","2460","",""
"2470","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2470","2022-03-18","2022-03-18"
"2480","","","","","APROVADO DIR. GERAL","","2480","",""
"2490","APROVADO","ENTREGUE CHATRONE","","Igor, André Rache","APROVADO DIR. GERAL","","2490","2022-03-18","2022-03-18"
"2500","APROVADO","ENTREGUE CHATRONE","","Igor, André Rache","APROVADO DIR. GERAL","","2500","2022-03-18","2022-03-18"
"2510","","","","","APROVADO DIR. GERAL","","2510","",""
"2520","","","","","APROVADO DIR. GERAL","","2520","2022-03-18",""
"2530","APROVADO","ENTREGUE CHATRONE","","Fits","APROVADO DIR. GERAL","","2530","2022-03-18","2022-03-18"
"2540","","","","","APROVADO DIR. GERAL","","2540","",""
"2550","","","","","APROVADO DIR. GERAL","","2550","",""
"2560","","","","","APROVADO DIR. GERAL","","2560","",""
"2570","","","","","APROVADO DIR. GERAL","","2570","",""
"2580","APROVADO","ENTREGUE CHATRONE","","Igor, Leo Fazio","APROVADO DIR. GERAL","","2580","2022-03-18","2022-03-18"
"2590","","","","","APROVADO DIR. GERAL","","2590","",""
"2600","","","","","APROVADO DIR. GERAL","","2600","",""
"2610","","","","","APROVADO DIR. GERAL","","2610","",""
"2620","","","","","APROVADO DIR. GERAL","","2620","",""
"2630","","","","","APROVADO DIR. GERAL","","2630","",""
"2640","APROVADO","ENTREGUE CHATRONE","","Igor, Fits, André Rache","APROVADO DIR. GERAL","","2640","2022-03-18","2022-03-18"
"2650","","","","","APROVADO DIR. GERAL","","2650","","2022-03-18"
"2660","APROVADO","ENTREGUE CHATRONE","","Fits, Igor, André Rache","APROVADO DIR. GERAL","","2660","2022-03-18",""
"2670","","","","","APROVADO DIR. GERAL","","2670","",""
"2680","","","","","APROVADO DIR. GERAL","","2680","",""
"2690","","","","","APROVADO DIR. GERAL","","2690","",""
"2700","","","","","APROVADO DIR. GERAL","","2700","",""
"2710","","","","","APROVADO DIR. GERAL","","2710","",""
"2720","","","","","APROVADO DIR. GERAL","","2720","",""
"2730","","","","","APROVADO DIR. GERAL","","2730","",""
"2740","","","","","APROVADO DIR. GERAL","","2740","",""
"2750","APROVADO","ENTREGUE CHATRONE","","Igor, Leo Fazio, Kássia Oliveira","APROVADO DIR. GERAL","","2750","2022-03-18","2022-03-18"
"2760","","","","","APROVADO DIR. GERAL","","2760","",""
"2770","","","","","APROVADO DIR. GERAL","","2770","",""
"2780","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2780","",""
"2790","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2790","",""
"2800","","","","","APROVADO DIR. GERAL","","2800","",""
"2810","","","ENTREGUE CHATRONE","","APROVADO DIR. GERAL","","2810","",""
"2820","","","","","APROVADO DIR. GERAL","","2820","",""
"2830","","","","","APROVADO DIR. GERAL","","2830","",""
"2840","","","","","APROVADO DIR. GERAL","","2840","",""
"2850","","","","","APROVADO DIR. GERAL","","2850","",""
"2860","","","","","APROVADO DIR. GERAL","","2860","",""
"2870","APROVADO","ENTREGUE CHATRONE","","Fits, Igor, Kássia Oliveira","APROVADO DIR. GERAL","","2870","2022-03-18","2022-03-18"
"2880","","","","","APROVADO DIR. GERAL","","2880","",""
"2890","","","","","APROVADO DIR. GERAL","","2890","",""
"2900","APROVADO","ENTREGUE CHATRONE","","Fits, Kássia Oliveira","APROVADO DIR. GERAL","","2900","2022-03-18","2022-03-18"
"","","","","","","","","2022-03-18","2022-03-18"
"","","","","","","","","",""
"112 Armandão","","","","","","","","",""
"Name","ANIM","COMP","JULIETA E/OU LÚCIO","Responsável","Espelho","BG v1","MM Animação","ANIM PRAZO","COMP PRAZO"
"10","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","10","",""
"20","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","20","",""
"30","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","30","",""
"40","","","","","APROVADO DIR. GERAL","","40","",""
"50","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","50","",""
"60","CENA CANCELADA","CENA CANCELADA","ATUALIZAR COR","","JUNTOU","","60","",""
"70","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","70","",""
"80","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","80","",""
"90","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","90","",""
"100","CENA CANCELADA","CENA CANCELADA","ATUALIZAR COR","","JUNTOU","","100","",""
"110","","","","","APROVADO DIR. GERAL","","110","",""
"120","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","120","",""
"130","","","","","APROVADO DIR. GERAL","","130","",""
"140","","","","","APROVADO DIR. GERAL","","140","",""
"150","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","150","",""
"160","","","","","APROVADO DIR. GERAL","","160","",""
"170","","","","","APROVADO DIR. GERAL","","170","",""
"180","APROVADO","ENTREGUE CHATRONE","ATUALIZAR COR","Igor","APROVADO DIR. GERAL","","180","2022-04-04","2022-04-05"
"190","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","190","",""
"200","","","","","APROVADO DIR. GERAL","","200","",""
"210","","","","","APROVADO DIR. GERAL","","210","",""
"220","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","220","",""
"230","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","230","",""
"240","","","","","APROVADO DIR. GERAL","","240","",""
"250","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","250","",""
"260","","","","","APROVADO DIR. GERAL","","260","",""
"270","","","","","APROVADO DIR. GERAL","","270","",""
"280","","","","","APROVADO DIR. GERAL","","280","",""
"290","","","","","APROVADO DIR. GERAL","","290","",""
"300","","","","","APROVADO DIR. GERAL","","300","",""
"310","","","","","APROVADO DIR. GERAL","","310","",""
"320","","","","","APROVADO DIR. GERAL","","320","",""
"340","","","","","APROVADO DIR. GERAL","","340","",""
"350","","","","","APROVADO DIR. GERAL","","350","",""
"360","","","","","APROVADO DIR. GERAL","","360","",""
"370","","","","","APROVADO DIR. GERAL","","370","",""
"380","","","","","APROVADO DIR. GERAL","","380","",""
"390","","","","","APROVADO DIR. GERAL","","390","",""
"400","","","","","APROVADO DIR. GERAL","","400","",""
"410","","","","","APROVADO DIR. GERAL","","410","",""
"420","","","","","APROVADO DIR. GERAL","","420","",""
"430","","","","","APROVADO DIR. GERAL","","430","",""
"440","","","","","APROVADO DIR. GERAL","","440","",""
"450","","","","","APROVADO DIR. GERAL","","450","",""
"460","","","","","APROVADO DIR. GERAL","","460","",""
"470","","","","","APROVADO DIR. GERAL","","470","",""
"480","","","","","APROVADO DIR. GERAL","","480","",""
"490","","","","","APROVADO DIR. GERAL","","490","",""
"500","","","","","APROVADO DIR. GERAL","","500","",""
"510","","","","","APROVADO DIR. GERAL","","510","",""
"520","","","","","APROVADO DIR. GERAL","","520","",""
"530","","","","","APROVADO DIR. GERAL","","530","",""
"540","","","","","APROVADO DIR. GERAL","","540","",""
"550","","","","","APROVADO DIR. GERAL","","550","",""
"560","","","","","APROVADO DIR. GERAL","","560","",""
"570","","","","","APROVADO DIR. GERAL","","570","",""
"580","","","","","APROVADO DIR. GERAL","","580","",""
"589","CENA CANCELADA","CENA CANCELADA","","","","","589","",""
"590","","","","","APROVADO DIR. GERAL","","590","",""
"600","","","","","APROVADO DIR. GERAL","","600","",""
"610","","","","","APROVADO DIR. GERAL","","610","",""
"620","","","","","APROVADO DIR. GERAL","","620","",""
"630","","","","","APROVADO DIR. GERAL","","630","",""
"640","","","","","APROVADO DIR. GERAL","","640","",""
"650","","","","","APROVADO DIR. GERAL","","650","",""
"660","APROVADO","ENTREGUE CHATRONE","ATUALIZAR COR","Fits","APROVADO DIR. GERAL","","660","2022-03-11","2022-03-14"
"670","","","","","APROVADO DIR. GERAL","","670","",""
"680","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","680","",""
"690","APROVADO","ENTREGUE CHATRONE","ATUALIZAR COR","Fits","APROVADO DIR. GERAL","","690","2022-03-11","2022-03-14"
"700","","","","","APROVADO DIR. GERAL","","700","",""
"710","APROVADO","ENTREGUE CHATRONE","ATUALIZAR COR","Fits","APROVADO DIR. GERAL","","710","2022-03-11","2022-03-14"
"720","","","","","APROVADO DIR. GERAL","","720","",""
"730","APROVADO","ENTREGUE CHATRONE","","Fits, Isadora Éleres","APROVADO DIR. GERAL","","730","2022-03-11","2022-03-14"
"740","APROVADO","ENTREGUE CHATRONE","ATUALIZAR COR","Fits","APROVADO DIR. GERAL","","740","2022-03-11","2022-03-14"
"750","","","","","APROVADO DIR. GERAL","","750","",""
"760","","","","","APROVADO DIR. GERAL","","760","",""
"770","APROVADO","ENTREGUE CHATRONE","","Fits","APROVADO DIR. GERAL","","770","2022-03-11","2022-03-14"
"780","","","","","APROVADO DIR. GERAL","","780","",""
"790","","","","","APROVADO DIR. GERAL","","790","",""
"800","","","","","APROVADO DIR. GERAL","","800","",""
"810","","","","","APROVADO DIR. GERAL","","810","",""
"820","","","","","APROVADO DIR. GERAL","","820","",""
"830","","","","","APROVADO DIR. GERAL","","830","",""
"840","","","","","APROVADO DIR. GERAL","","840","",""
"850","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","850","",""
"860","","","","","APROVADO DIR. GERAL","","860","",""
"870","","","","","APROVADO DIR. GERAL","","870","",""
"880","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","880","",""
"890","","","","","APROVADO DIR. GERAL","","890","",""
"900","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","900","",""
"910","","","","","APROVADO DIR. GERAL","","910","",""
"920","","","ATUALIZAR COR","","APROVADO DIR. GERAL","","920","",""
"930","","","","","APROVADO DIR. GERAL","","930","",""
